,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
986," ""6257-2""",33.0583,-83.8072,19841.244,6805773,4804.724,265.176,14.66088,40.5384,287.0388889,89784.57813,681219.625,771004.2031
987," ""6257-3""",33.0583,-83.8072,17911.845,6133238.475,3787.035,258.1656,10.3632,40.5384,287.0388889,70767.29688,614976.5625,685743.8594
988," ""6257-4""",33.0583,-83.8072,17611.701,6100104.95,3853.782,304.8,8.2296,79.8576,299.2611111,72014.58594,604671.5625,676686.1484
989," ""6264-1""",38.9794,-81.9344,31051.88,6554285.775,7661.491,304.8,12.954,39.3192,282.9277778,128147.2031,937664.1875,1065811.391
990," ""6469-B1""",47.3714,-101.8344,7091.533,4441266.818,7945.939,182.88,7.8574392,91.44,262.4718336,128726.7344,178697.2813,307424.0156
991," ""6469-B2""",47.3714,-101.8344,7433.154,4254800.492,6781.931,182.88,7.8574392,91.44,262.4718336,109869.4453,187305.6719,297175.1172
992," ""6481-1SGA""",39.5108,-112.5792,2229.481,8516425.2,16594.9,217.17,8.5344,38.1,286.7055556,75220.35938,55032.96484,130253.3242
993," ""6481-2SGA""",39.5108,-112.5792,2009.543,7519104.85,12316.111,217.17,8.5344,40.5384,286.15,55825.72266,49603.97266,105429.6953
994," ""6639-G1""",37.6467,-87.5006,1749.78,2087925.125,3109.457,106.68,4.572,39.3192,295.4833333,57070.92969,57436.91016,114507.8398
995," ""6639-G2""",37.6467,-87.5006,815.654,2127805.675,3051.284,106.68,4.572,39.3192,302.7611111,56003.22656,26774.01953,82777.24609
996," ""6641-1""",35.6733,-91.4083,12875.496,6231882.249,7350.333,304.8,7.83336,97.8408,305.3722222,131862.375,413229.2813,545091.6563
997," ""6641-2""",35.6733,-91.4083,13296.801,6253211.299,7312.512,304.8,7.83336,97.8408,305.3722222,131183.875,426750.7188,557934.5938
998," ""6648-4""",30.5642,-97.0639,23746.899,4901916.53,4307.042,121.92,6.5532,54.864,309.8166667,84783.72656,830969.375,915753.1016
999," ""6664-101""",41.3153,-91.0936,15396.69,4846896.775,4562.48,185.928,9.144,54.864,302.3751198,120918.3672,510828.4688,631746.8359
1000," ""6705-1""",37.915,-87.3328,14362.186,1185132.609,2086.814,115.824,4.1148,39.0144,287.7222222,39214.33203,487124.2813,526338.6133
1001," ""6705-2""",37.915,-87.3328,14545.778,1189116.966,2115.001,115.824,4.1148,39.0144,287.8555556,39744.00781,493351.2188,533095.2266
1002," ""6705-3""",37.915,-87.3328,14006.53,1131788.794,2087.707,115.824,4.1148,39.0144,288,39231.11719,475061.4688,514292.5859
1003," ""6705-4""",37.915,-87.3328,29944.116,2586017.572,4074.213,152.4,5.7912,37.4904,292.9722222,76560.50781,1015618.75,1092179.258
1004," ""6761-101""",40.8611,-105.0206,942.744,2491698.916,1990.197,153.924,5.334,60.96,291.4833333,17831.20898,23739.12891,41570.33789
